id,name,description,imageUrl,appUrl,tags,version,lastUpdated,status,category,ai_engineer,for-ruthran's-reference,ai_studio,json,share,comments
app-unique-001,AI Powered LMS,"Transform corporate training with the HERE AND NOW AI-Powered LMS. Our platform uses AI to create personalized learning experiences, automate administrative tasks, and provide actionable analytics to drive learner engagement and skill development.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/lms.png,https://test.hereandnowai.com/,"AI Powered LMS, Personalized Learning, Corporate Training, eLearning, AI in Education, HR Tech, Learning Analytics, HERE AND NOW AI",1.5.0,2025-06-15,Live,LMS,BK,,,"{""brand"":{""appName"":""AI Powered LMS"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",0
app-unique-002,AI Chatbot,"Enhance customer engagement and provide instant, 24/7 support with an intelligent, conversational AI.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/caramel-ai-chatbot.png,https://chatbot.hereandnowai.com/,"AI Chatbot, Customer Support, Conversational AI, Automated Support",1.0.0,2025-06-06,Live,Chatbot,RR,,,"{""brand"":{""appName"":""AI Chatbot"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",0
app-unique-003,RAG Bot,"Leverage Retrieval-Augmented Generation to provide accurate, context-aware answers from your private knowledge base.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/Caramel%20AI%20The%20RAG%20BOT.png,https://apps.hereandnowai.com/apps/rag_bot/,"RAG, Generative AI, Knowledge Management, Enterprise Search",1.0.0,2025-06-13,Live,RAG Bot,RR,,https://apps.hereandnowai.com/apps/rag_bot/,"{""brand"":{""appName"":""RAG Bot"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",0
app-unique-004,Automated Meeting Scheduling,"Streamline your scheduling process, save time, and eliminate back-and-forth emails with an intelligent meeting scheduler.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/ai_powered_meeting_scheduler.png,https://apps.hereandnowai.com/apps/ai_meeting_schedular/,"AI Scheduling, Automated Meetings, Productivity Tool, Calendar Management",1.0.0,2025-06-15,Beta,Business Administration,Sakthi,,https://aistudio.google.com/apps/drive/1Q7MWcB0IV0KGfOQjAr8ksVzTFo8Ps8Sa?showPreview=true&showCode=true&showAssistant=true,"{""brand"":{""appName"":""Automated Meeting Scheduling"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",0
app-unique-005,Chatbot for Internal IT Support,"Provide instant IT assistance to your employees, resolve common issues automatically, and reduce helpdesk workload with a dedicated IT chatbot.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/chatbot_it_support.png,apps.hereandnowai.com/apps/it_support_chatbot,"IT Support, Helpdesk Automation, Internal Chatbot, Employee Support",1.0.0,2025-06-15,Beta,Business Administration,Sakthi,,https://aistudio.google.com/apps/drive/1YTbSLswv6Ck3EetiB_t00vLo0ENrxJc4?showPreview=true&showCode=true&showAssistant=true,"{""brand"":{""appName"":""Chatbot for Internal IT Support"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",0
app-unique-006,Automated Document Classification & Routing,"Automatically categorize and route your business documents to the right teams and workflows, ensuring efficiency and accuracy.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/ai_document_classifier.png,https://apps.hereandnowai.com/apps/docintel_ai_document_classifier/,"Document Classification, Workflow Automation, AI for Documents, Business Process Automation",1.0.0,2025-06-15,Beta,Business Administration,Adhithya,,https://aistudio.google.com/app/prompts?state=%7B%22ids%22%3A%5B%221WvItV_6hFJj7qSPGv3sXcX9ZOHzpBm-6%22%5D%2C%22action%22%3A%22open%22%2C%22userId%22%3A%22117235877527576107778%22%2C%22resourceKeys%22%3A%7B%7D%7D&usp=drive_link,"{""brand"":{""appName"":""Automated Document Classification & Routing"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",0
app-unique-007,Automated Email Filtering,Organize your inbox and prioritize important messages with an AI-powered email filter that learns from your behavior.,https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/ai_email_filtering.png,https://apps.hereandnowai.com/apps/ai_email_filter/,"Email Filtering, Inbox Zero, AI Productivity, Spam Filter",1.0.0,2025-06-15,Beta,Business Administration,Adhithya,,"https://aistudio.google.com/app/prompts?state=%7B%22ids%22:%5B%221Gn_OLmVfINDXAHNF10-n8IXa9do7cJ8k%22%5D,%22action%22:%22open%22,%22userId%22:%22110862150491804775382%22,%22resourceKeys%22:%7B%7D%7D&usp=sharing","{""brand"":{""appName"":""Automated Email Filtering"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",0
app-unique-008,Sentiment Analysis of Employee Feedback,Gain valuable insights into employee morale and satisfaction by automatically analyzing sentiment in feedback and surveys.,https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/sentiment_analysis_for_employee_feedback.png,https://apps.hereandnowai.com/apps/employee_sentiment_analysis/,"Sentiment Analysis, Employee Engagement, HR Analytics, Voice of the Employee",1.0.0,2025-06-15,Beta,Business Administration,Ananthi,,https://github.com/Ananthiproject/sentiment-analysis-of-employee-feedback,"{""brand"":{""appName"":""Sentiment Analysis of Employee Feedback"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",0
app-unique-009,Predictive Analytics for Attrition,Proactively identify employees at risk of leaving with powerful predictive analytics to improve retention strategies.,https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/ai_for_attrition.png,,"Predictive Analytics, Employee Attrition, HR Tech, Workforce Analytics",1.0.0,2025-06-15,unpublished,Business Administration,Ananthi,,https://aistudio.google.com/apps/drive/1jvDvEwq5gvAny2mHv2EoJ0rQ7zl0xeUx?showAssistant=true&showCode=true&showFileTree=true&showTreeView=true&resourceKey=&showPreview=true,"{""brand"":{""appName"":""Predictive Analytics for Attrition"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",need to contact ananthi
app-unique-010,Automated Report Generation,"Save countless hours by automating the creation of detailed business reports, from data collection to final presentation.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/automated_report_generator.png,https://apps.hereandnowai.com/apps/ai_automated_report_generation/,"Report Automation, Business Intelligence, Data Analytics, Automated Reporting",1.0.0,2025-06-15,Beta,Business Administration,Rashini,,"https://aistudio.google.com/app/prompts?state=%7B%22ids%22:%5B%221F5zxuGrH4RBCuDfKq9Te28nJ_dsJJpr5%22%5D,%22action%22:%22open%22,%22userId%22:%22117444904105802553679%22,%22resourceKeys%22:%7B%7D%7D&usp=sharing","{""brand"":{""appName"":""Automated Report Generation"",""organizationShortName"":""HERE AND NOW AI"",""organizationLongName"":""HERE AND NOW AI - Artificial Intelligence Research Institute"",""website"":""https://hereandnowai.com"",""email"":""info@hereandnowai.com"",""mobile"":""+91 996 296 1000"",""slogan"":""designed with passion for innovation"",""colors"":{""primary"":""#FFDF00"",""secondary"":""#004040""},""logo"":{""title"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/HNAI%20Title%20-Teal%20%26%20Golden%20Logo%20-%20DESIGN%203%20-%20Raj-07.png"",""favicon"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/favicon-logo-with-name.png""},""chatbot"":{""avatar"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel.jpeg"",""face"":""https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/logos/caramel-face.jpeg""},""socialMedia"":{""blog"":""https://hereandnowai.com/blog"",""linkedin"":""https://www.linkedin.com/company/hereandnowai/"",""instagram"":""https://instagram.com/hereandnow_ai"",""github"":""https://github.com/hereandnowai"",""x"":""https://x.com/hereandnow_ai"",""youtube"":""https://youtube.com/@hereandnow_ai""}}}","stagiaire@hereandnow.co.in, ruthran@hereandnow.co.in, ai@hereandnow.co.in",0
